Player,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints,PPM,FPPM,Suggested_FantasyPoints,Suggested_FantasyPoints_Rank
Wesley Matthews,7.5,23.0,2.0,0.7,0.8,0.3,0.3,6.2,12.6,0.26956521739130435,0.5478260869565217,12.65222823781155,203
Will Barton,4.0,31.0,4.9,2.8,0.8,0.2,1.6,15.0,26.5,0.4838709677419355,0.8548387096774194,26.503179865872376,77
Willie Cauley-Stein,6.0,10.5,2.7,0.5,0.3,0.7,0.5,2.5,9.0,0.23809523809523808,0.8571428571428571,8.995703484795337,260
Willy Hernangómez,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.4,1.0,2.2,4.422914578800801,335
Xavier Tillman Sr.,6.0,17.3,4.1,1.4,0.6,0.3,0.7,4.6,13.4,0.2658959537572254,0.7745664739884393,13.623204723795073,194
Yogi Ferrell,9.0,1.7,0.3,0.3,0.0,0.0,0.0,0.4,1.2,0.23529411764705885,0.7058823529411765,1.2093699476044888,428
Yuta Watanabe,2.5,3.8,0.5,0.0,0.0,0.0,0.6,2.0,2.0,0.5263157894736842,0.5263157894736842,1.9898641139707096,411
Zach LaVine,4.0,38.3,5.3,6.0,0.8,0.3,3.0,19.3,35.0,0.503916449086162,0.9138381201044387,34.99593409150859,42
Zeke Nnaji,4.0,3.5,0.3,0.1,0.1,0.0,0.1,1.6,2.5,0.4571428571428572,0.7142857142857143,2.306326936291405,403
Ziaire Williams,7.0,9.9,1.0,0.5,0.2,0.0,0.4,4.1,6.5,0.4141414141414141,0.6565656565656566,6.249576275782951,300
