Player,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints,PPM,FPPM,Suggested_FantasyPoints,Suggested_FantasyPoints_Rank
Nigel Williams-Goss,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,0.75,1.5264524481320958,422
Nik Stauskas,13.0,1.8,0.3,0.3,0.0,0.0,0.0,1.0,1.8,0.5555555555555556,1.0,1.7979143622008138,417
Nikola Jokić,13.5,36.2,12.0,6.5,1.1,0.9,3.5,28.8,55.6,0.7955801104972375,1.5359116022099446,55.46152510079326,2
Nikola Jović,7.0,1.9,0.7,0.0,0.0,0.0,0.0,0.3,1.1,0.15789473684210525,0.5789473684210527,1.1413646032435796,430
Nikola Vučević,5.0,36.6,11.7,3.6,0.6,0.9,2.1,23.7,45.5,0.6475409836065573,1.2431693989071038,45.58273441837602,16
Noah Vonleh,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002209868188625164,449
Norman Powell,7.3,31.4,2.5,1.7,0.7,0.6,1.3,17.4,25.6,0.554140127388535,0.8152866242038217,25.574417657635195,83
Norvel Pelle,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.8571428571428571,5.993601612086314,303
OG Anunoby,8.5,36.0,5.4,1.8,1.0,0.7,1.6,13.9,26.7,0.3861111111111111,0.7416666666666667,26.59209452910845,76
Obi Toppin,8.0,14.4,3.0,0.5,0.4,0.2,0.6,6.7,12.3,0.4652777777777778,0.8541666666666667,12.250383540789402,208
Omer Yurtseven,8.5,3.1,0.7,0.2,0.0,0.1,0.0,1.6,3.0,0.5161290322580645,0.9677419354838709,3.0380121268241536,376
Onyeka Okongwu,9.7,17.5,4.8,0.6,0.5,0.9,0.7,4.6,14.7,0.26285714285714284,0.84,14.760018445978705,182
Otto Porter Jr.,19.0,19.5,3.4,1.8,0.9,0.3,0.6,5.4,15.2,0.27692307692307694,0.7794871794871795,15.157533008021616,170
P.J. Tucker,16.0,29.8,5.6,1.5,1.0,0.2,0.6,6.2,18.3,0.2080536912751678,0.6140939597315437,18.161450860588417,144
PJ Dozier,7.5,6.2,1.1,0.5,0.1,0.1,0.4,3.0,5.3,0.48387096774193544,0.8548387096774193,5.267520156801966,315
Pascal Siakam,8.5,40.6,7.4,4.8,1.2,0.7,2.1,19.9,39.4,0.4901477832512315,0.9704433497536945,39.60129532251267,31
Pat Connaughton,12.2,22.3,4.4,1.2,0.5,0.3,0.5,8.1,16.9,0.3632286995515695,0.757847533632287,17.08668326565303,153
Patrick Baldwin Jr.,3.0,3.7,1.0,0.3,0.0,0.0,0.0,0.0,1.6,0.0,0.43243243243243246,1.6633237369230254,421
Patrick Beverley,10.3,24.0,3.2,2.9,1.0,0.8,1.0,7.4,19.7,0.30833333333333335,0.8208333333333333,19.985058747800828,129
Patrick Patterson,2.0,5.0,0.5,2.0,0.0,0.0,0.0,4.5,8.1,0.9,1.6199999999999999,8.12164225161427,270
Patrick Williams,5.0,30.6,5.4,0.8,1.0,0.6,1.4,11.8,22.9,0.38562091503267976,0.7483660130718953,22.88590777256111,101
Patty Mills,2.5,11.5,0.5,0.0,0.0,0.2,0.2,3.2,4.0,0.2782608695652174,0.34782608695652173,4.213638323308125,340
Paul George,16.0,38.8,7.8,4.6,1.2,0.5,3.3,23.5,41.8,0.6056701030927836,1.077319587628866,41.559709351826854,25
Paul Millsap,9.7,14.1,3.2,1.3,0.3,0.4,0.7,4.8,12.0,0.3404255319148936,0.851063829787234,11.993999973272818,213
Paul Reed,8.7,9.9,4.0,0.5,0.4,0.4,0.4,3.2,10.8,0.32323232323232326,1.090909090909091,10.750725055678947,235
Paul Watson,2.0,4.5,0.0,0.5,0.5,0.0,0.0,1.0,3.2,0.2222222222222222,0.7111111111111111,3.247470107948751,364
Payton Pritchard,13.0,10.7,1.4,1.7,0.3,0.0,0.5,3.8,8.5,0.35514018691588783,0.7943925233644861,8.424903362930756,267
Peyton Watson,5.0,2.8,0.8,0.2,0.0,0.2,0.2,1.0,2.7,0.35714285714285715,0.9642857142857144,2.6677895604712525,391
Precious Achiuwa,4.5,15.9,3.4,0.5,0.1,0.8,1.4,6.2,12.2,0.389937106918239,0.7672955974842767,12.341896812939764,206
Quentin Grimes,9.0,26.9,2.8,1.4,1.0,0.6,1.1,5.1,14.3,0.1895910780669145,0.5315985130111525,14.25276355719863,192
Quinn Cook,6.0,4.0,0.2,0.8,0.0,0.0,0.2,2.2,3.4,0.55,0.85,3.43924157745539,358
RJ Barrett,8.0,33.3,5.8,2.9,0.8,0.3,1.3,16.8,30.2,0.5045045045045046,0.906906906906907,30.135188557698342,61
Rajon Rondo,14.5,20.8,3.4,5.2,0.9,0.2,1.6,6.6,20.0,0.3173076923076923,0.9615384615384615,20.170300521619808,126
Raul Neto,3.0,13.0,1.2,1.0,0.3,0.0,0.6,3.6,6.9,0.27692307692307694,0.5307692307692308,6.847878006180144,293
Rayjon Tucker,3.7,3.3,0.1,0.0,0.0,0.0,0.2,1.3,1.3,0.393939393939394,0.393939393939394,1.2120695685883893,426
Reggie Bullock,11.5,35.8,4.0,1.4,0.9,0.2,0.6,9.7,19.2,0.2709497206703911,0.5363128491620112,19.31439827679437,139
Reggie Jackson,12.3,16.6,1.8,1.5,0.4,0.1,0.7,7.7,13.1,0.463855421686747,0.789156626506024,12.90951681664657,201
Reggie Perry,5.0,4.4,1.2,0.2,0.2,0.0,0.6,3.2,4.9,0.7272727272727273,1.1136363636363635,4.9292040314722065,326
Ricky Rubio,3.0,5.7,2.0,1.0,0.3,0.0,1.7,0.0,3.1,0.0,0.543859649122807,3.094212260470441,372
Robert Covington,6.7,25.2,4.6,1.2,1.3,0.9,0.8,6.8,19.9,0.2698412698412698,0.7896825396825397,19.9072799030843,130
Robert Williams,13.2,17.7,5.3,0.9,0.4,1.8,0.6,6.4,20.0,0.36158192090395486,1.1299435028248588,20.114206767740704,127
Robin Lopez,3.3,8.2,1.2,0.0,0.0,0.3,0.2,4.5,6.5,0.5487804878048781,0.7926829268292683,6.648714738362414,294
Rodions Kurucs,4.0,14.5,3.3,0.8,0.3,0.5,0.8,5.5,12.3,0.3793103448275862,0.8482758620689655,12.270704145458447,207
Rodney McGruder,5.0,3.2,0.8,0.4,0.0,0.0,0.0,1.6,3.2,0.5,1.0,3.166017992991247,368
Romeo Langford,5.5,17.0,1.4,0.8,0.4,0.2,0.3,5.2,9.9,0.3058823529411765,0.5823529411764706,9.59053838500414,251
Rondae Hollis-Jefferson,5.0,7.5,1.8,0.3,0.3,0.2,0.1,2.4,6.4,0.32,0.8533333333333334,6.413535875640442,299
Royce O'Neale,7.0,33.3,5.7,2.4,1.0,0.3,1.0,7.0,20.5,0.21021021021021022,0.6156156156156156,20.350499528357567,124
Rudy Gobert,7.2,35.2,12.3,1.1,0.4,1.4,1.4,14.6,35.0,0.41477272727272724,0.9943181818181818,35.04375890883182,41
Rui Hachimura,10.5,29.4,5.4,0.8,0.4,0.2,0.8,13.5,22.5,0.45918367346938777,0.7653061224489797,22.20485799122943,108
Russell Westbrook,6.0,36.1,8.3,7.9,1.0,0.6,4.0,20.2,43.1,0.5595567867036011,1.1939058171745152,42.82878818541698,24
Saddiq Bey,6.0,22.2,4.0,1.0,0.5,0.0,0.3,7.5,15.0,0.33783783783783783,0.6756756756756757,15.016674202892279,175
Sam Hauser,11.0,4.5,0.6,0.3,0.0,0.0,0.0,1.4,2.8,0.3111111111111111,0.6222222222222222,2.5655638168805344,395
Sam Merrill,8.0,3.8,0.6,0.1,0.5,0.0,0.1,0.6,2.9,0.15789473684210525,0.7631578947368421,2.858761247373445,383
Santi Aldama,6.0,16.8,4.3,1.2,0.5,0.0,0.3,6.5,14.7,0.38690476190476186,0.8749999999999999,14.67008350391811,187
Scottie Barnes,4.0,33.3,9.0,4.3,1.0,0.3,1.3,12.8,32.6,0.38438438438438444,0.9789789789789791,32.67343994359145,49
Semi Ojeleye,7.5,7.7,0.4,0.0,0.4,0.2,0.0,1.0,3.4,0.12987012987012986,0.44155844155844154,3.2720199005568777,363
Serge Ibaka,6.3,11.8,3.8,0.7,0.2,0.9,0.6,7.1,15.6,0.6016949152542372,1.3220338983050846,15.42308015397958,167
Seth Curry,6.2,28.2,1.9,2.2,0.5,0.3,0.8,13.6,20.7,0.48226950354609927,0.7340425531914894,20.81047523300475,119
Shai Gilgeous-Alexander,7.0,39.9,5.3,4.1,1.0,0.4,2.1,16.3,30.9,0.4085213032581454,0.7744360902255639,30.935299056412177,59
Shake Milton,8.5,14.6,1.6,1.2,0.4,0.1,0.8,6.3,10.7,0.4315068493150685,0.732876712328767,10.71878750524924,236
Shaquille Harrison,8.5,4.0,0.6,0.7,0.3,0.2,0.3,1.2,4.0,0.3,1.0,4.166748370340805,342
Skylar Mays,4.5,3.4,0.4,0.3,0.4,0.0,0.0,1.0,3.1,0.29411764705882354,0.911764705882353,3.1277878445142973,370
Solomon Hill,10.5,8.2,1.2,0.3,0.1,0.0,0.0,1.4,3.7,0.17073170731707318,0.451219512195122,3.589041630185673,355
Spencer Dinwiddie,11.0,33.8,2.8,5.0,1.0,0.3,2.3,15.4,28.1,0.455621301775148,0.8313609467455623,27.87053171047158,71
Stanley Johnson,3.0,6.7,1.3,2.0,0.0,0.0,0.3,4.3,8.6,0.6417910447761194,1.2835820895522387,8.580859682112644,263
Stephen Curry,17.5,36.3,5.2,6.0,1.2,0.4,2.9,29.0,46.1,0.7988980716253444,1.2699724517906337,46.147722904845374,14
Sterling Brown,5.0,3.4,1.0,0.2,0.2,0.1,0.2,0.6,2.7,0.17647058823529413,0.7941176470588236,2.8035105293018447,387
Steven Adams,7.0,23.2,9.0,1.7,0.4,0.2,1.4,6.8,20.3,0.29310344827586204,0.8750000000000001,20.56313547242531,121
Svi Mykhailiuk,3.0,1.7,0.3,0.0,0.0,0.0,0.0,0.3,0.7,0.17647058823529413,0.4117647058823529,0.66158099137333,440
T.J. Leaf,3.0,2.3,1.0,0.0,0.0,0.0,0.0,2.0,3.2,0.8695652173913044,1.3913043478260871,3.201865689755072,366
T.J. McConnell,3.0,9.3,2.0,2.3,0.0,0.0,0.7,2.3,7.4,0.24731182795698922,0.7956989247311828,7.472015574301205,283
T.J. Warren,5.0,26.2,3.8,1.8,1.2,0.4,1.5,11.4,21.9,0.4351145038167939,0.8358778625954199,21.9539048948267,110
Tacko Fall,1.5,1.2,0.8,0.0,0.0,0.0,0.0,0.8,1.6,0.6666666666666667,1.3333333333333335,1.7689348439484245,418
