Player,Pos,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints,PPM,FPPM,Suggested_FantasyPoints,Suggested_FantasyPoints_Rank
Rodions Kurucs,PF,4,14.5,3.3,0.8,0.3,0.5,0.8,5.5,12.3,0.379310345,0.848275862,12.27070415,207
Obi Toppin,PF,8,14.4,3,0.5,0.4,0.2,0.6,6.7,12.3,0.465277778,0.854166667,12.25038354,208
Talen Horton-Tucker,SG,3,10.2,3,0.2,0.6,0,0.4,6.8,12.3,0.666666667,1.205882353,12.09656699,209
Nerlens Noel,C,6,16.2,4,0.3,0.6,0.6,0.6,3.8,12.2,0.234567901,0.75308642,12.04929651,210
Facundo Campazzo,PG,7,15.2,1.9,2.3,0.7,0.2,1,4.6,12.1,0.302631579,0.796052632,12.02535037,211
Blake Griffin,C,5,15,3.3,1.3,0.4,0.3,0.3,4.3,12.2,0.286666667,0.813333333,12.02294319,212
Paul Millsap,C,9.7,14.1,3.2,1.3,0.3,0.4,0.7,4.8,12,0.340425532,0.85106383,11.99399997,213
Thaddeus Young,PF,6,14.5,3,1.7,0.8,0.2,0.5,3.3,12,0.227586207,0.827586207,11.94600501,214
Danuel House Jr.,SF,7.3,18.6,3.4,0.7,0.3,0.1,0.6,6.2,11.9,0.333333333,0.639784946,11.94135494,215
Cedi Osman,SF,5,18.6,3,1,0.4,0.2,1,6,11.9,0.322580645,0.639784946,11.9087159,216
Tristan Thompson,C,5.3,13.1,4.4,0.6,0.3,0.4,0.7,4.3,11.9,0.328244275,0.908396947,11.88817521,217
Luke Kennard,SG,10,18,2.4,1,0.4,0,0.2,6.4,11.9,0.355555556,0.661111111,11.78735661,218
Derrick Favors,C,11,13.2,4.2,0.3,0.2,0.9,0.5,3.4,11.7,0.257575758,0.886363636,11.69473292,219
Terance Mann,SG,12.3,16.2,2.1,1,0.5,0.2,0.7,6.2,11.4,0.382716049,0.703703704,11.61223998,220
Brad Wanamaker,PG,17,16.1,2,1.8,0.7,0.2,1.1,4.9,11.6,0.304347826,0.720496894,11.57721195,221
Dāvis Bertāns,PF,11,18.6,2.1,0.3,0.4,0.3,0.2,6.7,11.4,0.360215054,0.612903226,11.57387544,222
JaKarr Sampson,PF,4,12.5,3.3,1,0.5,0,0.5,5,11.5,0.4,0.92,11.46402231,223
Mario Hezonja,PF,5,13.6,3.2,1.2,0.6,0,0.6,4.6,11.4,0.338235294,0.838235294,11.43968707,224
Taurean Prince,PF,5,16.5,1.5,1,0.5,0.2,0.9,6.9,11.4,0.418181818,0.690909091,11.40240585,225
Naz Reid,C,5,10.8,2.8,0,0.2,1.2,1,4.8,11.4,0.444444444,1.055555556,11.36520537,226
Immanuel Quickley,SG,6.5,18.6,1.5,1,0.6,0,1.2,7.4,11.2,0.397849462,0.602150538,11.29654565,227
JaVale McGee,C,10,9.7,3.4,0.6,0.2,0.8,0.6,3.9,11.4,0.402061856,1.175257732,11.28455694,228
Justin Anderson,SG,3,9.3,2.7,1,0,0.3,0.7,6.3,11.2,0.677419355,1.204301075,11.25629868,229
Terence Davis,SG,5,14.2,2.2,1.4,0.2,0,0.8,6.6,11.3,0.464788732,0.795774648,11.15233456,230
Grant Williams,PF,15.2,16.6,2.4,0.8,0.2,0.6,0.4,5,11,0.301204819,0.662650602,11.08178818,231
Isaac Okoro,SF,5,15,1.4,0.8,0.4,0.4,0.8,6.4,10.9,0.426666667,0.726666667,10.88395701,232
Trey Murphy III,SF,6,20,2.5,0.5,0.5,0.2,0.2,5.2,10.8,0.26,0.54,10.86041644,233
Garrett Temple,SG,2.5,18.2,1.9,1,0.4,0.2,0.8,6,10.7,0.32967033,0.587912088,10.7931101,234
Paul Reed,C,8.7,9.9,4,0.5,0.4,0.4,0.4,3.2,10.8,0.323232323,1.090909091,10.75072506,235
Shake Milton,SG,8.5,14.6,1.6,1.2,0.4,0.1,0.8,6.3,10.7,0.431506849,0.732876712,10.71878751,236
Kevin Knox,SF,1.5,4.2,1,0.5,0.5,0.5,0.8,6.5,10.7,1.547619048,2.547619048,10.64123673,237
Austin Rivers,SG,7.8,20.3,1.5,1.2,0.6,0.2,0.7,5.2,10.5,0.256157635,0.517241379,10.50198122,238
Matisse Thybulle,SG,8.3,17.4,1.4,0.4,1,0.7,0.3,3.4,10.2,0.195402299,0.586206897,10.46338716,239
Ayo Dosunmu,SG,5,17.2,2.6,2.2,0.2,0,0.6,4,10.4,0.23255814,0.604651163,10.44095545,240
Wes Iwundu,SF,5,15.2,2.2,0.8,0.6,0.4,0.6,4.2,10.4,0.276315789,0.684210526,10.43940507,241
Andre Iguodala,SF,10.7,15.3,2.2,1.5,0.6,0.5,0.9,3.1,10.3,0.202614379,0.673202614,10.3805768,242
Ish Smith,PG,4.5,12.6,1.8,1.5,0.7,0.2,0.5,3.6,10.3,0.285714286,0.817460317,10.20783369,243
George Hill,PG,9,19.7,1.6,1.7,0.4,0.1,0.9,5.1,10.4,0.258883249,0.527918782,10.17652626,244
Gabe Vincent,PG,11,14.7,0.9,1.8,0.4,0.1,0.8,5.6,10.3,0.380952381,0.700680272,10.07731881,245
Lonnie Walker IV,SG,13,13.8,0.9,0.8,0.5,0.1,0.3,6.2,10,0.449275362,0.724637681,9.96938356,246
Trey Burke,PG,6,12.7,1.3,1,0.5,0.1,0.4,5.3,9.7,0.417322835,0.763779528,9.759036389,247
Jordan McLaughlin,PG,3.5,11.8,1.7,2.2,0.5,0,0.2,3.1,9.7,0.262711864,0.822033898,9.750905224,248
Torrey Craig,PF,15.2,14,2.6,0.6,0.3,0.3,0.4,4.3,9.6,0.307142857,0.685714286,9.713051797,249
JaMychal Green,PF,8.8,14.2,3,0.6,0.1,0.2,0.4,4.7,9.7,0.330985915,0.683098592,9.710630505,250
Romeo Langford,SG,5.5,17,1.4,0.8,0.4,0.2,0.3,5.2,9.9,0.305882353,0.582352941,9.590538385,251
Chris Chiozza,PG,5,9.8,0.8,2.2,0.8,0,0.5,3.3,9.4,0.336734694,0.959183673,9.453056181,252
Timothé Luwawu-Cabarrot,SF,5,14,1.7,0.8,0.3,0,0.8,6.1,9.3,0.435714286,0.664285714,9.444097641,253
Khem Birch,C,5.5,14.2,3.2,1,0.2,0.1,0.8,3.9,9.4,0.274647887,0.661971831,9.350106682,254
Jaxson Hayes,C,6,13.8,2.5,0.2,0,0.3,0.7,5.8,9.3,0.420289855,0.673913043,9.312739268,255
Dario Šarić,C,14,10.5,2.5,1,0.1,0.1,0.4,4.5,9.2,0.428571429,0.876190476,9.19900937,256
Landry Shamet,SG,11.8,17.6,1.7,1.1,0.4,0.1,0.6,4.6,9.2,0.261363636,0.522727273,9.188849707,257
Bismack Biyombo,C,8.5,9.7,2.8,0.7,0,0.8,0.8,3.1,9.1,0.319587629,0.93814433,9.119497992,258
Malik Beasley,SG,8.5,14,2,0.4,0.2,0.1,0.7,5.8,9,0.414285714,0.642857143,9.001947461,259
Willie Cauley-Stein,C,6,10.5,2.7,0.5,0.3,0.7,0.5,2.5,9,0.238095238,0.857142857,8.995703485,260
Montrezl Harrell,C,6.3,10.7,2,0.1,0.3,0.2,0.5,5.4,8.9,0.504672897,0.831775701,8.947803757,261
David Roddy,PF,6,12.7,2.8,0.7,0,0.3,0.2,3.8,8.9,0.299212598,0.700787402,8.929106517,262
Stanley Johnson,PF,3,6.7,1.3,2,0,0,0.3,4.3,8.6,0.641791045,1.28358209,8.580859682,263
Hamidou Diallo,SF,3,8.3,2,0.3,0,0.7,0.7,4.3,8.6,0.518072289,1.036144578,8.562654072,264
Christian Braun,SG,19,13,2.1,0.6,0.6,0.2,0.5,3.2,8.5,0.246153846,0.653846154,8.493755414,265
Moses Moody,SG,12.5,10.8,1.6,0.5,0.3,0.2,0.2,4.5,8.6,0.416666667,0.796296296,8.463600501,266
Payton Pritchard,PG,13,10.7,1.4,1.7,0.3,0,0.5,3.8,8.5,0.355140187,0.794392523,8.424903363,267
Emmanuel Mudiay,PG,3,11.3,2,0.7,0,0.3,0.3,4.3,8.3,0.380530973,0.734513274,8.369669651,268
Aaron Holiday,PG,3.7,8.4,0.6,1.7,0.5,0.1,0.7,3.8,8,0.452380952,0.952380952,8.167263373,269
Patrick Patterson,PF,2,5,0.5,2,0,0,0,4.5,8.1,0.9,1.62,8.121642252,270
Mike James,PG,9,11.4,1.8,1.3,0.2,0,0.3,3.7,8.1,0.324561404,0.710526316,8.115463497,271
Tony Bradley,C,4,6,2.9,0.4,0.2,0.2,0.4,3.2,7.8,0.533333333,1.3,8.088052034,272
Jaylen Hoard,PF,3,13.7,3,0.3,0,0,0.7,4.7,8,0.343065693,0.583941606,8.0668291,273
Kyle Korver,SF,10,11.9,0.8,0.1,0.3,0.1,0.5,6.2,8,0.521008403,0.672268908,8.001156095,274
Troy Brown Jr.,SF,7.5,11.3,2.4,1,0.4,0,0.5,2.9,8.1,0.256637168,0.716814159,7.979004523,275
Josh Minott,SF,1,6,0,0,2,1,1,0,8,0,1.333333333,7.959041839,276
Bryn Forbes,SG,12.5,14.4,1,0.8,0.2,0,0.4,5.3,8,0.368055556,0.555555556,7.899714699,277
Georges Niang,PF,10.2,14.7,1.4,0.6,0.1,0.1,0.5,5.2,7.8,0.353741497,0.530612245,7.885646327,278
Džanan Musa,SF,3,13,1,1.3,0,0.3,1,4.7,7.8,0.361538462,0.6,7.766396405,279
Jaylen Nowell,SG,3,12.2,0.5,0.8,0.5,0,0.2,4.6,7.7,0.37704918,0.631147541,7.70223602,280
Enes Freedom,C,8,10.2,3.2,0.3,0,0.2,0.5,3.2,7.7,0.31372549,0.754901961,7.598542211,281
Wenyen Gabriel,C,7,8.5,1.7,0.5,0.4,0.4,0.8,3.2,7.4,0.376470588,0.870588235,7.58126921,282
T.J. McConnell,PG,3,9.3,2,2.3,0,0,0.7,2.3,7.4,0.247311828,0.795698925,7.472015574,283
Dwight Powell,C,12.5,10.6,2.2,0.6,0.2,0.2,0.3,3,7.4,0.283018868,0.698113208,7.436906324,284
Jeremiah Martin,PG,3,9,1,1.3,0,0.3,0.7,4,7.4,0.444444444,0.822222222,7.364194818,285
Devonte' Graham,PG,6,10,1.5,0.7,0.2,0.2,0.7,4,7.3,0.4,0.73,7.350888751,286
Javonte Green,SF,3,10.2,2,0.2,0.9,0,0.4,2.2,7.2,0.215686275,0.705882353,7.184816248,287
Alex Len,C,6,8,2.6,0.2,0.1,0.2,0.6,3.4,7.1,0.425,0.8875,7.122997346,288
Frank Kaminsky,C,10,6.8,1.4,1.4,0.2,0.3,0.4,2.2,7.1,0.323529412,1.044117647,7.083821352,289
Dewayne Dedmon,C,6.3,9.7,2.8,0.4,0,0.2,1,3.4,7.2,0.350515464,0.742268041,6.965155474,290
Vic Law,PF,1,4,2,1,0,0,0,3,6.9,0.75,1.725,6.926324474,291
Jarrett Culver,SG,3,7.3,2.3,0.3,0.7,0,0.7,2.3,6.9,0.315068493,0.945205479,6.898358431,292
Raul Neto,PG,3,13,1.2,1,0.3,0,0.6,3.6,6.9,0.276923077,0.530769231,6.847878006,293
Robin Lopez,C,3.3,8.2,1.2,0,0,0.3,0.2,4.5,6.5,0.548780488,0.792682927,6.648714738,294
Jonathan Kuminga,PF,13,7.4,1.3,0.5,0.2,0,0.6,4.3,6.8,0.581081081,0.918918919,6.594482383,295
Markus Howard,SG,9,12.4,0.8,0.4,0,0.1,0,4.7,6.6,0.379032258,0.532258065,6.570318304,296
Juancho Hernangómez,PF,6,9.3,2,0.8,0.3,0,0.3,2.3,6.5,0.247311828,0.698924731,6.502864102,297
Greg Monroe,C,2,3.5,1,0.5,1,0,0.5,2,6.4,0.571428571,1.828571429,6.440811039,298
Rondae Hollis-Jefferson,PF,5,7.5,1.8,0.3,0.3,0.2,0.1,2.4,6.4,0.32,0.853333333,6.413535876,299
Ziaire Williams,SF,7,9.9,1,0.5,0.2,0,0.4,4.1,6.5,0.414141414,0.656565657,6.249576276,300
Donta Hall,C,3,6.7,1.7,0,0,0.7,0.3,2.3,6.1,0.343283582,0.910447761,6.154602788,301
Naji Marshall,SF,6,9.3,1,0.8,0.2,0.2,0.5,3,6.1,0.322580645,0.655913978,6.102067333,302
Norvel Pelle,C,1,7,0,0,1,1,0,0,6,0,0.857142857,5.993601612,303
Ben McLemore,SG,7.5,10.4,1.4,0.4,0.4,0,0.3,2.8,5.8,0.269230769,0.557692308,5.973599991,304
E'Twaun Moore,SG,7,6.6,1.4,1.3,0.1,0,0.4,2.4,5.9,0.363636364,0.893939394,5.936406072,305
John Konchar,SF,4.7,6.6,1.8,0.5,0.3,0.5,0.1,0.6,5.7,0.090909091,0.863636364,5.820826037,306
Cody Zeller,C,21,8.3,2.3,0.3,0.1,0.2,0.6,2.2,5.7,0.265060241,0.686746988,5.689889014,307
Jalen McDaniels,SF,8,12.8,2,0.6,0.1,0,0.4,2.4,5.6,0.1875,0.4375,5.607081926,308
DeAndre Jordan,C,3.5,6.9,1.6,0.3,0,0.5,0.6,2.3,5.6,0.333333333,0.811594203,5.580198781,309
Furkan Korkmaz,SG,7,9.2,1.3,0.4,0.2,0.1,0.4,2.9,5.8,0.315217391,0.630434783,5.559727037,310
Kris Dunn,PG,5,6.6,1,1,0.4,0.4,0.8,1.2,5.5,0.181818182,0.833333333,5.498340131,311
Aaron Nesmith,SF,10,9.2,1.8,0.2,0.2,0.2,0.2,2,5.4,0.217391304,0.586956522,5.457326157,312
Markieff Morris,PF,8.7,10.3,1.7,0.6,0.1,0.1,0.8,2.7,5.6,0.262135922,0.54368932,5.438929672,313
B.J. Johnson,SF,1,4,2,0,0,0,0,3,5.4,0.75,1.35,5.412553226,314
PJ Dozier,SF,7.5,6.2,1.1,0.5,0.1,0.1,0.4,3,5.3,0.483870968,0.85483871,5.267520157,315
Michael Kidd-Gilchrist,PF,6,9.2,1,0.5,0.2,0.2,0.2,2.3,5.2,0.25,0.565217391,5.253396728,316
Day'Ron Sharpe,C,1.5,5,1.5,1.2,0,0.2,0.5,1.5,5.4,0.3,1.08,5.222551064,317
Ersan İlyasova,PF,2,5.4,0.6,0,0.4,0,0.2,3.5,5.2,0.648148148,0.962962963,5.21078027,318
Jaylen Adams,PG,3,7,1,0.7,0.3,0,0,2,5.2,0.285714286,0.742857143,5.156488456,319
Josh Okogie,SG,5.5,9.8,1,0.6,0.3,0.1,0.2,2,5.3,0.204081633,0.540816327,5.102618585,320
Chandler Hutchison,SF,2,9,1.5,0.5,0,0,0.5,3,5,0.333333333,0.555555556,5.061538342,321
Derrick Jones Jr.,PF,7.3,7.8,0.7,0.3,0.4,0.1,0.2,2.4,4.9,0.307692308,0.628205128,4.98068837,322
Bol Bol,PF,3.5,3.6,0.8,0.4,0.2,0.2,0.2,2.4,5.1,0.666666667,1.416666667,4.965355202,323
Josh Reaves,SF,2,4.5,1,0.5,0,0.5,0.5,2,5,0.444444444,1.111111111,4.964304756,324
Damion Lee,SG,12,9.4,1.5,0.5,0.2,0,0.2,2,4.9,0.212765957,0.521276596,4.944066383,325
Reggie Perry,PF,5,4.4,1.2,0.2,0.2,0,0.6,3.2,4.9,0.727272727,1.113636364,4.929204031,326
Chris Clemons,SG,2,4,1,0,0,0,0,3.5,4.7,0.875,1.175,4.701311136,327
Haywood Highsmith,PF,13,6.4,1,0.4,0.3,0,0.2,2.2,4.7,0.34375,0.734375,4.684752426,328
Jalen Johnson,SF,4,6.9,1.2,0.6,0.2,0,0.6,2.2,4.7,0.31884058,0.68115942,4.540150709,329
Miye Oni,SG,5,6,1.2,0,0.3,0.2,0.2,1.8,4.6,0.3,0.766666667,4.537821714,330
Vincent Poirier,C,1,2,0,1,1,0,0,0,4.5,0,2.25,4.534795239,331
Doug McDermott,PF,4,13.5,0.8,0.3,0.3,0,0.3,2.5,4.5,0.185185185,0.333333333,4.515401741,332
Langston Galloway,SG,2,7.5,1,0.5,0,0.5,0,1,4.4,0.133333333,0.586666667,4.470136675,333
Eric Paschall,PF,4,6,1.3,0,0.3,0,0,2,4.5,0.333333333,0.75,4.459573425,334
Willy Hernangómez,C,1,2,2,0,0,0,0,2,4.4,1,2.2,4.422914579,335
Jevon Carter,PG,7.3,9,0.9,0.8,0.3,0,0.2,1.4,4.6,0.155555556,0.511111111,4.379688448,336
Lamar Stevens,SF,2,4.5,1.5,0,0,0,0,2.5,4.3,0.555555556,0.955555556,4.308519059,337
Bruno Caboclo,C,2,3.5,1.5,0,0.5,0,0,1,4.3,0.285714286,1.228571429,4.306544634,338
Meyers Leonard,C,2.5,6.4,0.4,0.5,0.2,0,0,2.4,4,0.375,0.625,4.233211033,339
Patty Mills,PG,2.5,11.5,0.5,0,0,0.2,0.2,3.2,4,0.27826087,0.347826087,4.213638323,340
Mike Scott,PF,4.5,5.9,1.3,0.4,0.1,0.1,0,1.4,4.2,0.237288136,0.711864407,4.169597687,341
Shaquille Harrison,SG,8.5,4,0.6,0.7,0.3,0.2,0.3,1.2,4,0.3,1,4.16674837,342
Charles Bassey,C,3,4,1.7,0.3,0,0.3,0,0.7,4.1,0.175,1.025,4.11366753,343
Antonius Cleveland,SG,2,4.5,0.5,0,0.5,0,0,2,4.1,0.444444444,0.911111111,4.093048136,344
Dion Waiters,SG,5,7.6,0.4,0.4,0.2,0.2,0.2,2,4.1,0.263157895,0.539473684,4.08103358,345
Abdel Nader,SF,4,7,1,0,0.2,0.4,0,1,3.8,0.142857143,0.542857143,4.005676803,346
Jeff Teague,PG,16,7.4,0.5,0.8,0.2,0,0.4,2,4,0.27027027,0.540540541,3.982456546,347
Elijah Bryant,SG,11,4.5,1.1,0.4,0.2,0.1,0.2,1.3,3.9,0.288888889,0.866666667,3.913945777,348
Cassius Winston,PG,1,5,2,1,0,0,2,2,3.9,0.4,0.78,3.896892708,349
Terrance Ferguson,SF,4,10.5,1,0.3,0.3,0,0.3,1.5,3.8,0.142857143,0.361904762,3.751592402,350
Troy Daniels,SG,6,5,0.5,0.3,0,0,0,2.7,3.8,0.54,0.76,3.749641815,351
Mike Muscala,C,4,6.8,1.4,0.4,0,0,0.1,1.5,3.5,0.220588235,0.514705882,3.689837417,352
Jordan Nwora,SF,6.5,4.4,1.1,0.2,0,0.1,0.1,1.8,3.6,0.409090909,0.818181818,3.622706709,353
Mamadi Diakite,PF,7,5,1,0,0.4,0.1,0.1,1,3.6,0.2,0.72,3.592515153,354
Solomon Hill,PF,10.5,8.2,1.2,0.3,0.1,0,0,1.4,3.7,0.170731707,0.451219512,3.58904163,355
DeMarre Carroll,C,2,3,1.5,0.5,0,0,0,1,3.6,0.333333333,1.2,3.573369394,356
Dalano Banton,PG,4,2,0.5,0.3,0.3,0,0.3,1.8,3.4,0.9,1.7,3.444664001,357
Quinn Cook,PG,6,4,0.2,0.8,0,0,0.2,2.2,3.4,0.55,0.85,3.439241577,358
Lance Thomas,PF,3,5.7,1,0,0,0.3,0,1.3,3.4,0.228070175,0.596491228,3.411420751,359
Gorgui Dieng,C,2,5,1.5,0,0,0,0,1.5,3.3,0.3,0.66,3.310813835,360
Elfrid Payton,PG,2,5.2,0,1,0.2,0,0,1.2,3.5,0.230769231,0.673076923,3.310174228,361
Nicolò Melli,PF,3,6.3,2,0,0.3,0,0,0,3.3,0,0.523809524,3.306684551,362
Semi Ojeleye,PF,7.5,7.7,0.4,0,0.4,0.2,0,1,3.4,0.12987013,0.441558442,3.272019901,363
Paul Watson,SF,2,4.5,0,0.5,0.5,0,0,1,3.2,0.222222222,0.711111111,3.247470108,364
Kenneth Lofton Jr.,PF,4,3,0.8,0.3,0,0,0,1.8,3.2,0.6,1.066666667,3.214651525,365
T.J. Leaf,PF,3,2.3,1,0,0,0,0,2,3.2,0.869565217,1.391304348,3.20186569,366
Frank Ntilikina,SG,7.5,5.9,0.5,0.4,0.4,0,0.2,1,3.1,0.169491525,0.525423729,3.18924299,367
Rodney McGruder,SG,5,3.2,0.8,0.4,0,0,0,1.6,3.2,0.5,1,3.166017993,368
Matt Thomas,SG,6.5,5.4,0.8,0.4,0,0,0,1.6,3.3,0.296296296,0.611111111,3.164740426,369
Skylar Mays,SG,4.5,3.4,0.4,0.3,0.4,0,0,1,3.1,0.294117647,0.911764706,3.127787845,370
Max Christie,SG,9,3.7,0.8,0.3,0,0.1,0,1.4,3.1,0.378378378,0.837837838,3.110506467,371
Ricky Rubio,PG,3,5.7,2,1,0.3,0,1.7,0,3.1,0,0.543859649,3.09421226,372
MarJon Beauchamp,SF,2,2.5,0.5,0,0,0,0,2.5,3.1,1,1.24,3.093927861,373
Juwan Morgan,PF,6,5.7,1.4,0.4,0.1,0,0,0.5,3.1,0.087719298,0.543859649,3.087569869,374
Vlatko Čančar,PF,4,3.6,0.7,0.3,0.1,0.1,0.4,1.6,2.9,0.444444444,0.805555556,3.087138027,375
Omer Yurtseven,C,8.5,3.1,0.7,0.2,0,0.1,0,1.6,3,0.516129032,0.967741935,3.038012127,376
Marquese Chriss,PF,8,3.8,1.1,0,0,0,0.1,1.8,3,0.473684211,0.789473684,3.015185537,377
Malcolm Miller,SF,1,5,0,0,0,0,0,3,3,0.6,0.6,3.000077626,378
Jaden Springer,SG,4.5,3.4,0.4,0.2,0.2,0,0.2,1.8,2.8,0.529411765,0.823529412,2.970854961,379
Alize Johnson,PF,3,2.3,1.3,0,0.3,0,0.3,0.8,3,0.347826087,1.304347826,2.967948758,380
Anthony Lamb,SF,6,5.2,1,0,0.2,0.2,0.3,0.8,2.9,0.153846154,0.557692308,2.897281549,381
Luca Vildoza,PG,7,2.4,0.3,0.6,0.3,0,0,0.7,2.9,0.291666667,1.208333333,2.866078601,382
Sam Merrill,SG,8,3.8,0.6,0.1,0.5,0,0.1,0.6,2.9,0.157894737,0.763157895,2.858761247,383
Luke Kornet,C,6.3,2.9,1.1,0,0,0,0,1.5,2.9,0.517241379,1,2.821394915,384
Dean Wade,PF,2,5.5,1.5,0,0,0,0,1,2.8,0.181818182,0.509090909,2.811805451,385
Jarrell Brantley,PF,2,4,1.2,0.5,0,0.2,0.5,0.5,3,0.125,0.75,2.805750678,386
Sterling Brown,SG,5,3.4,1,0.2,0.2,0.1,0.2,0.6,2.7,0.176470588,0.794117647,2.803510529,387
Justise Winslow,SF,1,3,1,1,0,0,0,0,2.7,0,0.9,2.731595616,388
J.R. Smith,SG,10,7.5,0.3,0.3,0.2,0,0.7,2,2.7,0.266666667,0.36,2.693474113,389
Ish Wainright,SF,6.5,3.6,0.9,0,0,0.2,0.2,1.2,2.8,0.333333333,0.777777778,2.681727776,390
Peyton Watson,SG,5,2.8,0.8,0.2,0,0.2,0.2,1,2.7,0.357142857,0.964285714,2.66778956,391
Nassir Little,PF,3,3,0.3,0,0,0.3,0.3,1.7,2.7,0.566666667,0.9,2.659252194,392
Tremont Waters,PG,2,2,0.5,0.8,0.2,0,0.4,0.6,2.6,0.3,1.3,2.616555507,393
Mo Bamba,C,3,3.3,1,0.3,0,0.3,0,0,2.6,0,0.787878788,2.573318931,394
Sam Hauser,SF,11,4.5,0.6,0.3,0,0,0,1.4,2.8,0.311111111,0.622222222,2.565563817,395
Edmond Sumner,SG,2,8.8,1,0.5,0,0,0.4,1,2.6,0.113636364,0.295454545,2.56201853,396
Juan Toscano-Anderson,SF,14,3.5,0.7,0.6,0.1,0.1,0.6,0.8,2.5,0.228571429,0.714285714,2.526465552,397
Axel Toupane,SF,4,2.5,1,0,0,0,0,1.3,2.5,0.52,1,2.504059237,398
Michael Frazier,SG,4,3,1,0.5,0,0,0.3,0.8,2.4,0.266666667,0.8,2.458492936,399
Tyler Cook,SF,1,4,2,0,0,0,0,0,2.4,0,0.6,2.420539485,400
Justin Jackson,SF,4,4.2,0.7,0.1,0.1,0,0.1,1.2,2.4,0.285714286,0.571428571,2.390130429,401
Keita Bates-Diop,SF,5,4.8,1.2,0.2,0,0,0,0.6,2.3,0.125,0.479166667,2.347847022,402
Zeke Nnaji,PF,4,3.5,0.3,0.1,0.1,0,0.1,1.6,2.5,0.457142857,0.714285714,2.306326936,403
Isaac Bonga,SF,2.5,2.8,0.5,0,0,0.2,0,1,2,0.357142857,0.714285714,2.205353924,404
Carsen Edwards,SG,1.5,2.8,0.8,0,0,0,0,1.2,2.2,0.428571429,0.785714286,2.166191163,405
Nathan Knight,C,4,2.4,0.8,0,0,0.2,0.2,0.8,2,0.333333333,0.833333333,2.16500093,406
Garrison Mathews,SG,3,5.7,0.7,0,0,0,0,1.3,2.1,0.228070175,0.368421053,2.145296219,407
Tony Snell,SG,9,7.3,0.6,0.2,0.2,0.1,0.4,0.6,2.1,0.082191781,0.287671233,2.110869463,408
Josh Green,SG,8.5,5.8,0.4,0.2,0.2,0,0,0.7,1.9,0.120689655,0.327586207,2.072503081,409
CJ Elleby,SF,2,4,1.5,0.5,0,0,0.5,0,2,0,0.5,2.06318339,410
Yuta Watanabe,SF,2.5,3.8,0.5,0,0,0,0.6,2,2,0.526315789,0.526315789,1.989864114,411
J.J. Barea,PG,1,5,0,0,0,0,1,3,2,0.6,0.4,1.985513977,412
Ty-Shon Alexander,SG,1,1,0,0,0,0,0,2,2,2,2,1.968385973,413
Jalen Smith,PF,6,3,0.8,0.2,0,0,0.2,0.8,1.9,0.266666667,0.633333333,1.860531835,414
Cam Thomas,SG,1.5,4,0.2,0.2,0,0,0.2,1.5,1.9,0.375,0.475,1.840764765,415
Thanasis Antetokounmpo,PF,7.7,2.8,0.4,0.1,0.2,0.1,0.1,0.4,1.7,0.142857143,0.607142857,1.825008818,416
Nik Stauskas,SG,13,1.8,0.3,0.3,0,0,0,1,1.8,0.555555556,1,1.797914362,417
Tacko Fall,C,1.5,1.2,0.8,0,0,0,0,0.8,1.6,0.666666667,1.333333333,1.768934844,418
Malachi Flynn,PG,6,6,0.5,0.5,0.2,0,0.2,0,1.8,0,0.3,1.749488504,419
Amir Coffey,SF,4.7,1.6,0.1,0.5,0.1,0,0,0.5,1.6,0.3125,1,1.678461152,420
Patrick Baldwin Jr.,SF,3,3.7,1,0.3,0,0,0,0,1.6,0,0.432432432,1.663323737,421
Nigel Williams-Goss,PG,1,2,0,1,0,0,0,0,1.5,0,0.75,1.526452448,422
Daniel Oturu,C,8,1.9,0.5,0,0,0.1,0,0.6,1.5,0.315789474,0.789473684,1.499293534,423
Udoka Azubuike,C,1,1,1,0,0,0,0,0,1.2,0,1.2,1.23633898,424
Bruno Fernando,C,6,2,0.2,0,0,0,0,1,1.2,0.5,0.6,1.228742774,425
Rayjon Tucker,SG,3.7,3.3,0.1,0,0,0,0.2,1.3,1.3,0.393939394,0.393939394,1.212069569,426
Jared Butler,SG,1,5,1,0,0,0,0,0,1.2,0,0.24,1.211935609,427
Yogi Ferrell,PG,9,1.7,0.3,0.3,0,0,0,0.4,1.2,0.235294118,0.705882353,1.209369948,428
Miles McBride,PG,8,2.5,0.3,0.1,0,0.1,0,0.4,1.2,0.16,0.48,1.208065974,429
Nikola Jović,PF,7,1.9,0.7,0,0,0,0,0.3,1.1,0.157894737,0.578947368,1.141364603,430
Malik Fitts,PF,9,1.8,0.2,0,0,0,0,0.9,1.1,0.5,0.611111111,1.123873461,431
Keljin Blevins,SF,2,2,0,0,0,0,0,1,1,0.5,0.5,0.992104524,432
Trent Forrest,PG,4,2.5,0,0,0,0,0,1,1,0.4,0.4,0.991455051,433
David Duke Jr.,SG,1,5,0,0,0,0,1,2,1,0.4,0.2,0.987337334,434
Isaiah Joe,SG,5.5,2.2,0.2,0.2,0,0,0.2,0.6,0.8,0.272727273,0.363636364,0.931480809,435
Kessler Edwards,SF,4,2.4,0.1,0.2,0.2,0,0.2,0,1,0,0.416666667,0.820482204,436
Frank Mason III,PG,2,1,0,0.5,0,0,0,0,0.8,0,0.8,0.774006037,437
Chimezie Metu,PF,3,2,0.3,0,0,0,0.3,0.7,0.8,0.35,0.4,0.75135804,438
