Player,Pos,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints,PPM,FPPM,Suggested_FantasyPoints,Suggested_FantasyPoints_Rank
Scottie Barnes,PF,4,33.3,9,4.3,1,0.3,1.3,12.8,32.6,0.384384384,0.978978979,32.67343994,49
Malik Monk,SG,7,29.3,5.4,3.6,0.7,0.4,2,19,32.2,0.648464164,1.098976109,32.20237824,50
Jaren Jackson Jr.,C,7.7,30.6,6.7,1.1,0.9,1.9,1.7,15.7,32.2,0.513071895,1.052287582,32.09781686,51
Darius Garland,PG,5,37.8,1.8,5,1.6,0.2,3.6,20.6,32.1,0.544973545,0.849206349,32.05785876,52
Kristaps Porziņģis,C,5,32.3,7,1,0.6,0.8,0.7,18.4,32.2,0.569659443,0.996904025,31.83715592,53
Andrew Wiggins,SF,17.5,34.4,6.6,1.8,0.9,1.1,1.4,16.6,31.9,0.48255814,0.927325581,31.82345895,54
Malcolm Brogdon,PG,11.5,32.4,3.9,6.4,0.6,0.2,1.8,16.7,31.6,0.515432099,0.975308642,31.61229302,55
Draymond Green,PF,17,31.3,7,6.6,1.3,1,2.5,8.7,31.4,0.277955272,1.003194888,31.382061,56
Jarrett Allen,C,4.5,35.6,11.1,2.3,0.6,1.4,1.7,9.9,31.1,0.278089888,0.873595506,30.99745062,57
Marcus Smart,PG,15.8,36.2,4.5,5.4,1.2,0.3,2.6,15.6,31.1,0.430939227,0.859116022,30.99720068,58
Shai Gilgeous-Alexander,SG,7,39.9,5.3,4.1,1,0.4,2.1,16.3,30.9,0.408521303,0.77443609,30.93529906,59
Jalen Brunson,PG,12,30.5,4,3.6,0.8,0.1,1.3,19.1,30.6,0.626229508,1.003278689,30.71904473,60
RJ Barrett,SG,8,33.3,5.8,2.9,0.8,0.3,1.3,16.8,30.2,0.504504505,0.906906907,30.13518856,61
Austin Reaves,SG,16,36.2,4.4,4.6,0.6,0.2,1.6,16.9,29.9,0.466850829,0.825966851,29.90737204,62
Mikal Bridges,SG,13,36.6,4.8,2.8,0.9,0.7,1.2,16,29.5,0.43715847,0.806010929,29.57849068,63
Klay Thompson,SF,17.5,36,4,2.2,0.8,0.5,1.6,18.8,29.2,0.522222222,0.811111111,29.21212505,64
Eric Bledsoe,PG,9,29.7,4.6,5.9,1.2,0.7,2.6,11.7,29.2,0.393939394,0.983164983,29.1665142,65
Brook Lopez,C,12.5,31.5,5.9,0.7,0.9,1.5,1.4,14.6,28.6,0.463492063,0.907936508,28.53181606,66
Kyle Lowry,PG,14.7,31,4.5,5,1.3,0.7,2,11.6,28.3,0.374193548,0.912903226,28.48771827,67
Daniel Gafford,C,5,23.4,5.8,0.6,1,2,0.6,11.8,28.1,0.504273504,1.200854701,28.06436019,68
Mike Conley,PG,5.5,32,3,6,0.8,0.2,1.7,14.1,28.2,0.440625,0.88125,28.03111568,69
Kemba Walker,PG,10,33.6,4,4.6,0.6,0.2,2.3,16.2,27.9,0.482142857,0.830357143,28.02572603,70
Spencer Dinwiddie,PG,11,33.8,2.8,5,1,0.3,2.3,15.4,28.1,0.455621302,0.831360947,27.87053171,71
Al Horford,C,15.7,32.9,7.9,2.9,0.7,1.4,0.9,8.6,28,0.261398176,0.85106383,27.84119044,72
Evan Mobley,PF,5,37.6,10,2,0.6,1.2,2.4,9.8,27.8,0.260638298,0.739361702,27.82228849,73
Michael Porter Jr.,SF,16.3,29.9,7,1.2,0.8,0.4,1.1,14.1,26.7,0.471571906,0.892976589,26.80033224,74
Desmond Bane,SG,7.7,31.3,4.4,2.5,0.7,0.4,1.6,16,26.8,0.511182109,0.856230032,26.75172674,75
OG Anunoby,SF,8.5,36,5.4,1.8,1,0.7,1.6,13.9,26.7,0.386111111,0.741666667,26.59209453,76
Will Barton,SG,4,31,4.9,2.8,0.8,0.2,1.6,15,26.5,0.483870968,0.85483871,26.50317987,77
Bogdan Bogdanović,SG,9.3,28.7,4,2.8,1,0.5,1,13.9,26.2,0.484320557,0.912891986,26.40834516,78
Tyrese Maxey,SG,11.7,30.6,3.4,2.5,0.8,0.4,1,15.9,26.4,0.519607843,0.862745098,26.34609271,79
Aaron Gordon,PF,11.7,32.5,6.2,2.4,0.5,0.7,1.3,12.7,26.1,0.390769231,0.803076923,26.06352526,80
Dillon Brooks,SF,7.3,31.1,3.3,2.2,0.9,0.2,1.7,17,25.9,0.546623794,0.832797428,25.87379746,81
D'Angelo Russell,PG,11,31.2,2.7,5.6,1.1,0.2,2.3,12.6,25.8,0.403846154,0.826923077,25.84168161,82
Norman Powell,SG,7.3,31.4,2.5,1.7,0.7,0.6,1.3,17.4,25.6,0.554140127,0.815286624,25.57441766,83
Bojan Bogdanović,PF,8.5,35.6,4.2,1.6,0.6,0,2,18,25.3,0.505617978,0.710674157,25.26698357,84
Evan Fournier,SF,5,33.8,3.8,2,1.2,0.3,1.4,14.1,24.8,0.417159763,0.733727811,24.76971588,85
Markelle Fultz,PG,5,29.4,2.2,5.2,1,0.6,2.6,12,24.6,0.408163265,0.836734694,24.64785601,86
Kevon Looney,C,17.5,22.7,10.4,2.8,0.5,0.4,1,6.2,24.6,0.273127753,1.083700441,24.5810333,87
Jordan Clarkson,SG,8,28,3.2,1.6,0.7,0.2,1.6,17.2,24.5,0.614285714,0.875,24.55387653,88
Tim Hardaway Jr.,SG,6.5,35.7,3.4,1.6,0.4,0,0.7,17.4,24.2,0.487394958,0.677871148,24.42889121,89
Cam Reddish,SF,4,23,3.5,1.8,1.5,0.5,1.3,12.8,24.4,0.556521739,1.060869565,24.38329152,90
Mitchell Robinson,C,11,27.1,9.3,0.8,0.6,1.5,0.9,6.5,24.3,0.239852399,0.896678967,24.26664006,91
